group1,group2,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,target1
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.78703
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.76064
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.45,118.71,7.344,10,4.42]","[1.33,121.76,8.64,10,4.7]","[1.33,121.76,8.64,10,4.7]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.75922
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.75015
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.74995
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]",-3.74508
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.33,121.76,8.64,10,4.7]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.74353
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.74321
0,1,"[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.33,121.76,8.64,10,4.7]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]",-3.72816
0,1,"[1.77,195.08,9.02,9,5.64] ","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]","[1.49,58.693,7.64,8,5.35]",-3.7277
0,1,"[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.43,208.98,7.29,10,4.34]","[1.43,208.98,7.29,10,4.34]","[1.33,121.76,8.64,10,4.7]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]","[1.77,195.08,9.02,9,5.64]","[1.77,195.08,9.02,9,5.64]","[1.49,58.693,7.64,8,5.35]",-3.71913
